
code		taxid		taxname		lineage
1		161921		Arctocephalus townsendi		161921 29083 9702 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		551196		Arctodus simus		551196 544298 9632 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		185735		Arctogadus glacialis		185735 185733 8045 1489845 8043 1489843 1489841 1489838 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		390973		Egretta novaehollandiae		390973 56073 8899 9205 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		54971		Arenaria interpres		54971 54972 8917 8906 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		135220		Ariosoma shiroanago		135220 135219 135218 7941 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		264149		Arothron firmamentum		264149 50368 31031 32517 31028 31022 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		6661		Artemia franciscana		6661 6660 38009 6659 116556 6658 6657 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1		9417		Artibeus jamaicensis		9417 9416 40234 9415 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2		559169		Ascaloptynx appendiculata		2028591 559167 146494 27427 2029066 7516 85817 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1		195875		Ascobulla fragilis		195875 158025 158024 158023 71490 977775 216307 216305 6448 6447 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
1		388629		Astrangia sp. JVK-2006		388629 2626269 165417 123764 123760 6125 6102 6101 6073 6072 33208 33154 2759 131567 
1		50733		Astronotus ocellatus		50733 50732 319083 318552 319056 8113 1489911 1489910 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1		426587		Asymmetron inferum		426587 355595 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
1		223987		Asymmetron lucayanum		223987 355595 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
